profile_label,profile_source,policy,normalized_value_mean,normalized_value_ci95,energy_j_mean,energy_j_ci95,median_latency_min_mean,median_latency_min_ci95,mean_decision_ms_mean,mean_decision_ms_ci95,on_pct_mean,on_pct_ci95,pre_pct_mean,pre_pct_ci95,down_pct_mean,down_pct_ci95,drop_pct_mean,drop_pct_ci95
60W mobile proxy,derived-proxy,Deadline-Energy,0.9394877850565141,0.00943479567214373,56283.565902797876,3453.8995860488085,12.91889049790974,1.3941941952452108,0.009633307580280906,0.00031811519462004344,26.923076923076923,1.2959918993910842,0.19230769230769232,0.12564102564102564,72.88461538461539,1.287437403928259,0.0,0.0
60W mobile proxy,derived-proxy,Energy-WSRPT,0.8953560242104285,0.00530968930691062,149892.63313649164,43.93689387181001,1.481447954022238,0.18608787647329852,0.012497499757535899,0.00044065421633434926,71.34615384615384,1.179955871203735,9.115384615384617,1.2001184469266013,19.538461538461537,1.811323575909877,0.0,0.0
60W mobile proxy,derived-proxy,Heuristic-TVD,1.0,0.0,149662.4976800287,105.6669784142408,1.7339726050899604,0.16612636491986663,0.013646961295028001,0.00026575164565322766,74.38461538461539,1.3162958806804752,0.038461538461538464,0.07538461538461538,25.576923076923073,1.3260932621455988,0.0,0.0
60W mobile proxy,derived-proxy,Priority-Aware,0.9125936796949524,0.011930395767114353,67649.43030495146,5030.405265660911,15.625617436880717,2.7239263776178646,0.0015298842089787985,0.0001769127097745792,32.46153846153847,1.8196707333771323,4.5769230769230775,0.8664677362346326,62.96153846153847,1.933565992938094,0.0,0.0
Edge-NPU synthetic,scaled,Deadline-Energy,0.8799523266105089,0.005355937579176312,30005.36491090719,1858.7814088222985,12.91889049790974,1.3941941952452108,0.009804461308074398,0.00017966142408349248,26.923076923076923,1.2959918993910842,0.19230769230769232,0.12564102564102564,72.88461538461539,1.287437403928259,0.0,0.0
Edge-NPU synthetic,scaled,Energy-WSRPT,0.9445100639212848,0.004479841047543588,100981.38229661601,2087.5491044064624,0.49904957788807636,0.014645716125699251,0.012543307127019104,0.0002820222754824961,90.38461538461539,0.9601473697975343,8.923076923076923,0.8905458586531264,0.6923076923076923,0.27063905184573406,0.0,0.0
Edge-NPU synthetic,scaled,Heuristic-TVD,1.0,0.0,111472.92512358722,1720.3573686875868,0.5309007186262623,0.014883825765538136,0.013859961293816853,0.00030441218570415187,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edge-NPU synthetic,scaled,Priority-Aware,0.8606795946919016,0.011371256435906304,36299.814965022386,2494.022019944912,15.625617436880717,2.7239263776178646,0.0014412695600185545,6.145233799012315e-05,32.46153846153847,1.8196707333771323,4.5769230769230775,0.8664677362346326,62.96153846153847,1.933565992938094,0.0,0.0
FPGA-low-power synthetic,scaled,Deadline-Energy,0.9013633858104912,0.004672792656893378,23339.49063070559,1445.6780597440716,12.91889049790974,1.3941941952452108,0.009534077186029976,0.00014208134251020272,26.923076923076923,1.2959918993910842,0.19230769230769232,0.12564102564102564,72.88461538461539,1.287437403928259,0.0,0.0
FPGA-low-power synthetic,scaled,Energy-WSRPT,0.9399362911438228,0.005851494124345562,74932.29304731413,1565.084450961787,1.990469175619496,0.09548187630090318,0.012747307560997656,0.00034909124301938375,86.11538461538461,1.038801337252437,10.346153846153848,1.086340871527843,3.538461538461538,0.6337092209569295,0.0,0.0
FPGA-low-power synthetic,scaled,Heuristic-TVD,1.0,0.0,86701.16398501223,1338.0557312014562,2.445790061648273,0.20368623436845537,0.013797884491326,0.0003593362851476736,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPGA-low-power synthetic,scaled,Priority-Aware,0.8700800272483905,0.011836994917820321,28280.422632795195,1939.2472042114607,15.625617436880717,2.7239263776178646,0.0013868843961972743,5.699652659427769e-05,32.46153846153847,1.8196707333771323,4.5769230769230775,0.8664677362346326,62.96153846153847,1.933565992938094,0.0,0.0
Orin AGX literature,literature-derived,Deadline-Energy,1.0,0.0,149433.37429635835,560.4940455442476,17.18079878440694,1.4990415402214647,0.009652307579437127,0.0003724146900726639,22.384615384615383,0.8009553795640532,3.6923076923076925,1.5619963961601695,73.92307692307692,1.5400125514998655,0.0,0.0
Orin AGX literature,literature-derived,Energy-WSRPT,0.7905009231505635,0.01122721963583376,149635.58935271352,142.35984021453285,20.8334488712652,1.5412083778946093,0.012028884386661678,0.00010767474171510124,22.153846153846153,0.5528205128205131,7.0769230769230775,0.9212152166270199,70.76923076923077,1.2412417696947593,0.0,0.0
Orin AGX literature,literature-derived,Heuristic-TVD,0.9192656005693621,0.0083892395855213,149402.68074095366,261.0186828838977,16.89995562723066,1.3041265789211762,0.013717153364828288,0.0002081429051552378,26.38461538461538,0.9074031119775602,1.8846153846153846,0.5204633044529184,71.73076923076923,1.0734773936424589,0.0,0.0
Orin AGX literature,literature-derived,Priority-Aware,0.8930755777668555,0.015261363102815737,149786.8943716734,115.75682788392099,23.2365494294473,1.4161726292046892,0.0014196153027184594,3.932809682849695e-05,22.30769230769231,0.5389399584035038,11.807692307692308,2.044670177344573,65.88461538461539,2.0415796825651893,0.0,0.0
RTX4090 measured,measured,Deadline-Energy,0.9699591240315119,0.010487389168797186,66667.673452016,4130.859172709681,12.91889049790974,1.3941941952452108,0.009572846073961746,0.00020271565221133256,26.923076923076923,1.2959918993910842,0.19230769230769232,0.12564102564102564,72.88461538461539,1.287437403928259,0.0,0.0
RTX4090 measured,measured,Energy-WSRPT,0.8744505166895458,0.011172063142729633,149886.64729377063,55.463014647065926,0.9823815285683335,0.08201907435282059,0.012029076539105378,0.00032310258696429463,59.84615384615385,0.7801892924274276,8.307692307692308,1.3494571436364717,31.846153846153847,1.4814989654896407,0.0,0.0
RTX4090 measured,measured,Heuristic-TVD,1.0,0.0,149766.0469967359,89.07655517156861,1.012963552682997,0.06608346580290783,0.013633230611538658,0.0004085090698880265,64.00000000000001,1.067283352305815,0.07692307692307693,0.1005128205128205,35.92307692307692,1.1192634001176254,0.0,0.0
RTX4090 measured,measured,Priority-Aware,0.9474119119126481,0.012449180242545427,80406.47279227202,5545.613628125519,15.625617436880717,2.7239263776178646,0.0013736924917723697,3.296634694915855e-05,32.46153846153847,1.8196707333771323,4.5769230769230775,0.8664677362346326,62.96153846153847,1.933565992938094,0.0,0.0
