memory_gb,policy,normalized_value_mean,normalized_value_ci95,total_value_mean,total_value_ci95,energy_j_mean,energy_j_ci95,median_latency_min_mean,median_latency_min_ci95,p95_latency_min_mean,p95_latency_min_ci95,mean_decision_ms_mean,mean_decision_ms_ci95,oom_count_mean,oom_count_ci95,energy_violation_count_mean,energy_violation_count_ci95,on_pct_mean,on_pct_ci95,pre_pct_mean,pre_pct_ci95,down_pct_mean,down_pct_ci95,drop_pct_mean,drop_pct_ci95,min_energy_j_mean,min_energy_j_ci95
6.0,ActiveInf-inspired,0.9357142706937124,0.010871689315563763,3657.3774611404565,59.93451885385116,149981.21919418656,18.460144951509488,1.0016729389390469,0.049461889601660806,280.7330390820847,196.36160379831315,0.04146149990936885,0.0015186867526521416,0.0,0.0,0.0,0.0,67.00000000000001,1.4338498220854736,8.615384615384617,1.8642351026842645,24.38461538461538,2.8544579250748034,0.0,0.0,18.78080581326959,18.460144951510593
6.0,Heuristic-TVD,0.9849331317706215,0.004081716288567639,3849.455206783224,35.33349882791398,146459.9292651307,1400.200914669522,0.9249964706067135,0.08362688461371842,64.12053070989472,3.2166093100055657,0.019338961518280066,0.0006679759482302839,0.0,0.0,0.0,0.0,68.07692307692308,1.112473064038721,5.846153846153846,0.7769452480546408,26.076923076923073,1.2950171027887822,0.0,0.0,3540.0707348693004,1400.2009146695252
6.0,PBR-adapted,0.984960266388662,0.010631130507872509,3849.7007100171345,56.34484981016073,149833.65453274135,75.8916111766279,0.8226694118873675,0.0878069739084524,137.96065337284182,128.28254045645292,6.010897538385157,0.1396234402323105,0.0,0.0,0.0,0.0,67.42307692307692,1.3719631816230071,0.8846153846153848,0.3900946462137134,31.69230769230769,1.3909318413370348,0.0,0.0,166.34546725862046,75.89161117661368
6.0,PeakMem-inspired,0.9969468470464898,0.00319265680235954,3896.788351569324,49.37203358243736,96935.68415870937,5184.127476840428,1.2754034690780776,0.3062928948155886,63.895971980891275,3.1085282195795543,0.024491807819756035,0.0007771615238444298,0.0,0.0,0.0,0.0,46.34615384615385,2.08503543880316,0.0,0.0,53.65384615384615,2.08503543880316,0.0,0.0,53064.315841290634,5184.127476840426
8.0,ActiveInf-inspired,0.8335832536943334,0.014301276750270441,3524.185663371466,67.51754735904066,149990.2018353758,4.131677436022934,1.1644625427635948,0.0499706683621867,281.69089857247974,195.9693798080041,0.04012053835769901,0.0010881572099819235,0.0,0.0,0.0,0.0,59.65384615384615,0.9021690569023537,4.5769230769230775,1.8548973152083452,35.76923076923077,1.5852691374026409,0.0,0.0,9.79816462399847,4.131677436015738
8.0,Heuristic-TVD,0.9333165595002992,0.008449813027569242,3945.9184883814496,51.29811460743858,149766.0469967359,89.07655517156861,1.012963552682997,0.06608346580290783,139.99719376120296,127.23490862086517,0.018664846250500817,0.0006403556585263849,0.0,0.0,0.0,0.0,64.0,1.0672833523058158,0.07692307692307693,0.1005128205128205,35.92307692307692,1.1192634001176254,0.0,0.0,233.95300326399556,89.07655517153833
8.0,PBR-adapted,0.875031819089456,0.01300138496063942,3699.3355585036543,60.99714077441965,149909.88923107725,44.83723340292836,0.975057903102598,0.07819799015816249,281.4481420199346,196.03999630073704,6.143026692163683,0.19079549523382758,0.0,0.0,0.0,0.0,60.03846153846153,0.8292307692307687,1.6538461538461537,0.5395254446798002,38.30769230769231,0.8499130171683078,0.0,0.0,90.11076892267285,44.83723340294784
8.0,PeakMem-inspired,1.0,0.0,4227.83649018583,39.009816641687905,139758.77547906135,5347.957336221606,0.8442838055010802,0.09341390889881881,42.52948625714548,4.063190603578104,0.024534269155432973,0.0005523835918425279,0.0,0.0,0.0,0.0,61.46153846153845,1.703536639132793,0.0,0.0,38.53846153846154,1.7035366391327924,0.0,0.0,10241.224520938686,5347.957336221622
12.0,ActiveInf-inspired,0.8810515047334577,0.015249048711054944,3523.4063080511683,67.81589292266858,149991.3715537758,4.028348871089564,1.168318419722558,0.04424566004112187,281.69089857247974,195.9693798080041,0.045757576892636,0.0027020247006279007,0.0,0.0,0.0,0.0,59.65384615384615,0.9021690569023537,4.730769230769231,1.946584594741233,35.61538461538461,1.7343923331489894,0.0,0.0,8.628446223999134,4.028348871094259
12.0,Heuristic-TVD,0.9866684048249894,0.008455495826392479,3945.9184883814496,51.29811460743858,149766.0469967359,89.07655517156861,1.012963552682997,0.06608346580290783,139.99719376120296,127.23490862086517,0.021059576773460813,0.0019260644409078624,0.0,0.0,0.0,0.0,64.0,1.0672833523058158,0.07692307692307693,0.1005128205128205,35.92307692307692,1.1192634001176254,0.0,0.0,233.95300326399556,89.07655517153833
12.0,PBR-adapted,0.9251072155293063,0.014972760047406436,3699.3355585036543,60.99714077441965,149909.88923107725,44.83723340292836,0.975057903102598,0.07819799015816249,281.4481420199346,196.03999630073704,7.17437223084674,0.5963669885163975,0.0,0.0,0.0,0.0,60.03846153846153,0.8292307692307687,1.6538461538461537,0.5395254446798002,38.30769230769231,0.8499130171683078,0.0,0.0,90.11076892267285,44.83723340294784
12.0,PeakMem-inspired,0.9956077696457903,0.004752425251861417,3982.516788731688,68.80567297928258,149838.347464736,73.61716108164072,0.8511017843891393,0.08058983596860766,273.8372897598345,199.49825701896228,0.02591346163311615,0.00143664198127033,0.0,0.0,0.0,0.0,65.07692307692308,1.6393144924814458,0.0,0.0,34.92307692307692,1.6393144924814447,0.0,0.0,161.65253526399343,73.61716108165791
16.0,ActiveInf-inspired,0.8916974434558421,0.011559398718222515,3518.8138395010637,70.50495938156355,149992.22435973314,3.6068952743969236,1.1683184197225587,0.04424566004112203,281.69089857247974,195.9693798080041,0.04934400014462881,0.0015458198694812656,0.0,0.0,0.0,0.0,59.57692307692307,0.9432286098226137,5.0769230769230775,2.1077756549744153,35.34615384615385,1.8031128755786696,0.0,0.0,7.775640266665727,3.6068952743967775
16.0,Heuristic-TVD,1.0,0.0,3945.9184883814496,51.29811460743858,149766.0469967359,89.07655517156861,1.012963552682997,0.06608346580290783,139.99719376120296,127.23490862086517,0.021124769051451806,0.0005280061247304552,0.0,0.0,0.0,0.0,64.0,1.0672833523058158,0.07692307692307693,0.1005128205128205,35.92307692307692,1.1192634001176254,0.0,0.0,233.95300326399556,89.07655517153833
16.0,PBR-adapted,0.9375495963171263,0.011038152681567876,3699.3355585036543,60.99714077441965,149909.88923107725,44.83723340292836,0.975057903102598,0.07819799015816249,281.4481420199346,196.03999630073704,7.466253230925828,0.06147232644356333,0.0,0.0,0.0,0.0,60.03846153846153,0.8292307692307687,1.6538461538461537,0.5395254446798002,38.30769230769231,0.8499130171683078,0.0,0.0,90.11076892267285,44.83723340294784
16.0,PeakMem-inspired,0.9644606621179885,0.008361859104016675,3805.742481749147,60.904643013050816,149838.1918390293,66.68317423515164,0.9466060183248913,0.06804165892490496,279.71221021286925,196.87932810187107,0.02772826939830198,0.0009168186272925793,0.0,0.0,0.0,0.0,63.230769230769226,1.2165788787868717,0.0,0.0,36.769230769230774,1.2165788787868714,0.0,0.0,161.80816097066278,66.68317423513369
