seed,task_count,heuristic_value,milp_ref_value,gap,heuristic_over_ref,solve_time_s,time_step_s,timeout_s
0,20,377.57860772663145,336.30540499606315,0.0,1,0.784381100005703,600,45
1,20,336.8750560235771,302.5108674965436,0.0,1,1.240385899989633,600,45
2,20,345.67209149357114,296.8435738539209,0.0,1,0.9141677000152413,600,45
3,20,325.0724628496785,279.1228828514597,0.0,1,10.630565900006332,600,45
4,20,344.81841700514815,321.0753909855912,0.0,1,0.6662783000210766,600,45
5,20,303.0780641220279,281.1788886886108,0.0,1,0.7035730999778025,600,45
6,20,314.30112740862796,294.6999213158449,0.0,1,0.7198501999955624,600,45
7,20,312.4055210214871,294.9328029330667,0.0,1,1.7573381999973208,600,45
8,20,387.44445899453643,338.4879317561519,0.0,1,0.6779753000009805,600,45
9,20,316.8221766048475,297.62322337849696,0.0,1,0.6582369999960065,600,45
0,40,696.8239061160375,622.478837009355,0.0,1,36.766872000007425,600,45
1,40,632.9616867270157,553.6298221068365,0.0,1,45.23284589999821,600,45
2,40,634.8364869040047,570.7529247207868,0.0,1,45.21137309999904,600,45
3,40,648.5337457152411,564.3465122852557,0.0,1,42.23859990001074,600,45
4,40,646.5093175629454,598.149642875827,0.0,1,2.4160456999961752,600,45
5,40,644.9340891387224,578.4325440426933,0.0,1,4.896274400001857,600,45
6,40,675.0202484392182,596.0169299531589,0.0,1,7.463032700004987,600,45
7,40,636.260910449477,560.9017266786742,0.0,1,16.57650029999786,600,45
8,40,657.0711336627367,610.4206866149489,0.0,1,1.4786244999850169,600,45
9,40,674.8146529725635,618.1781286902193,0.0,1,3.6907899000216275,600,45
0,60,1023.3777186331589,913.4453316951292,0.0,1,45.295001599995885,600,45
1,60,1007.0720358386423,896.2018678580673,0.0,1,45.31900409999071,600,45
2,60,1025.8576608781455,859.7270933329207,0.0,1,45.31848389998777,600,45
3,60,992.8708298591888,871.0804573032246,0.0,1,45.33861129998695,600,45
4,60,957.4685120115565,879.1846499369418,0.0,1,45.28122129998519,600,45
5,60,1074.4754048357092,928.1921170543804,0.0,1,45.25548510000226,600,45
6,60,1070.1522347173589,934.8217084015538,0.0,1,45.325026900012745,600,45
7,60,1030.659470748361,896.3744516506055,0.0,1,26.409549300005892,600,45
8,60,977.6673851928444,892.6045979329344,0.0,1,18.834032199985813,600,45
9,60,968.5585606465114,880.5984354220952,0.0,1,5.30730990000302,600,45
